Year,Month,Season,Tree_Pollen_Index,Grass_Pollen_Index,Ragweed_Pollen_Index,Total_Pollen_Index,Estimated_Allergy_Symptom_Index,Avg_Temperature,Avg_Humidity%
2018,Jan,Winter,0,3,5,8,8,29,68
2018,Feb,Winter,2,1,0,3,2,36,67
2018,Mar,Spring,25,12,0,37,36,46,64
2018,Apr,Spring,73,18,1,92,74,52,59
2018,May,Spring,87,38,1,126,132,67,61
2018,Jun,Summer,36,66,7,109,92,74,63
2018,Jul,Summer,15,66,12,93,110,80,61
2018,Aug,Summer,11,37,34,82,89,77,67
2018,Sep,Fall,3,13,84,100,96,71,70
2018,Oct,Fall,8,11,58,77,79,55,65
2018,Nov,Fall,0,2,9,11,11,46,69
2018,Dec,Winter,2,0,0,2,2,33,68
2019,Jan,Winter,0,5,3,8,8,33,63
2019,Feb,Winter,0,2,3,5,4,36,60
2019,Mar,Spring,35,2,0,37,34,42,58
2019,Apr,Spring,80,14,0,94,111,53,61
2019,May,Spring,92,43,0,135,158,65,57
2019,Jun,Summer,45,75,7,127,110,76,65
2019,Jul,Summer,16,68,15,99,87,80,60
2019,Aug,Summer,15,41,30,86,76,78,66
2019,Sep,Fall,9,22,85,116,137,73,64
2019,Oct,Fall,7,13,57,77,88,57,71
2019,Nov,Fall,0,0,11,11,9,45,68
2019,Dec,Winter,0,0,6,6,6,34,68
2020,Jan,Winter,1,3,0,4,3,30,66
2020,Feb,Winter,5,4,2,11,11,33,66
2020,Mar,Spring,27,1,0,28,27,45,59
2020,Apr,Spring,74,23,0,97,91,54,54
2020,May,Spring,92,40,6,138,143,68,62
2020,Jun,Summer,45,63,2,110,115,77,60
2020,Jul,Summer,23,63,5,91,91,82,67
2020,Aug,Summer,13,43,34,90,76,80,62
2020,Sep,Fall,8,15,75,98,78,73,64
2020,Oct,Fall,6,5,65,76,62,61,66
2020,Nov,Fall,2,7,15,24,27,46,66
2020,Dec,Winter,0,0,0,0,0,32,66
2021,Jan,Winter,6,0,0,6,5,31,69
2021,Feb,Winter,2,0,2,4,3,33,60
2021,Mar,Spring,28,0,0,28,27,44,57
2021,Apr,Spring,72,16,0,88,84,52,62
2021,May,Spring,94,41,6,141,119,65,61
2021,Jun,Summer,41,70,0,111,98,77,66
2021,Jul,Summer,16,60,12,88,88,82,67
2021,Aug,Summer,9,47,31,87,77,76,69
2021,Sep,Fall,3,24,75,102,85,71,71
2021,Oct,Fall,0,6,64,70,62,60,64
2021,Nov,Fall,2,0,7,9,8,48,73
2021,Dec,Winter,4,2,4,10,9,32,70
2022,Jan,Winter,6,6,0,12,11,29,61
2022,Feb,Winter,7,7,0,14,11,35,61
2022,Mar,Spring,33,4,5,42,42,48,61
2022,Apr,Spring,76,27,0,103,83,57,58
2022,May,Spring,87,38,8,133,151,62,60
2022,Jun,Summer,42,72,4,118,97,75,65
2022,Jul,Summer,20,69,16,105,110,79,61
2022,Aug,Summer,11,36,41,88,92,80,64
2022,Sep,Fall,9,26,82,117,132,70,63
2022,Oct,Fall,6,3,65,74,71,57,64
2022,Nov,Fall,0,0,12,12,12,48,70
2022,Dec,Winter,4,4,0,8,7,37,68
2023,Jan,Winter,0,0,2,2,1,33,61
2023,Feb,Winter,6,2,5,13,14,35,62
2023,Mar,Spring,30,7,0,37,43,42,58
2023,Apr,Spring,79,19,0,98,109,56,59
2023,May,Spring,85,42,0,127,140,62,57
2023,Jun,Summer,37,74,10,121,101,75,65
2023,Jul,Summer,21,61,15,97,106,81,64
2023,Aug,Summer,13,38,38,89,83,80,62
2023,Sep,Fall,4,19,84,107,122,73,68
2023,Oct,Fall,3,14,65,82,71,61,72
2023,Nov,Fall,0,9,8,17,20,48,68
2023,Dec,Winter,0,8,0,8,8,34,72
2024,Jan,Winter,6,2,3,11,11,32,61
2024,Feb,Winter,0,0,0,0,0,34,63
2024,Mar,Spring,31,0,0,31,30,46,59
2024,Apr,Spring,74,18,0,92,93,57,58
2024,May,Spring,93,42,0,135,141,63,56
2024,Jun,Summer,37,73,0,110,119,74,59
2024,Jul,Summer,22,67,14,103,97,78,60
2024,Aug,Summer,6,43,33,82,77,78,64
2024,Sep,Fall,6,19,85,110,97,69,71
2024,Oct,Fall,8,16,55,79,94,58,67
2024,Nov,Fall,0,8,13,21,24,47,74
2024,Dec,Winter,0,0,0,0,0,35,71
